stop_code,stop_name
4911,Mcpike Road
4915,Woodhill School
4919,Rimmer Road
4900,Mill Road Shops
4896,Rimu Street
4227,Stop C Albany Bus Station
4299,Munroe Lane
4260,Westfield Albany
3742,Civic Crescent
3587,Northridge Plaza
3586,Albany Mega Centre
4245,North Harbour Stadium
3563,Albany Village
3559,The Avenue
4421,347 Dairy Flat Highway
4147,Hobson Road
4149,Albany Heights Road
4879,Coatesville Riverhead Highway
4961,Glenmore Road
4883,Goldflats Lane
4959,Elliot Street
4956,Albert Street
4954,Edward Street
4952,Riverhead Road
4951,Grove Way
4950,Grove Way
4953,Riverhead Road
4955,Edward Street
4958,Elliot Street
4882,Lewis Lane
4960,Glenmore Road
4852,Coatesville Riverhead Highway
3573,Albany Heights Road
3602,Hobson Road
3561,The Avenue
3578,Albany Village
4246,North Harbour Stadium
3589,Albany Mega Centre
3588,Northridge Plaza
4315,Civic Crescent
4259,Westfield Albany
3744,Munroe Lane
4982,Stop B Hibiscus Coast
4972,Waitoki Road
4971,Kaipara Coast Highway
4969,Kaukapakapa School
4968,All Saints Kaukapakapa Church
4975,Stewart Street
4974,Stewart Street
4967,All Saints Kaukapakapa Church
4970,Kaipara Coast Highway
4973,Waitoki Road
5851,Great North Road/McLeod Road
5853,Dellwood Avenue
5112,Te Atatu Road/Glendene shops
5110,Elcoat Avenue
5108,Kokiri Street
5106,Divich Avenue
5104,Te Atatu Road/McLeod Road
5102,Roberts Road
5100,Tiroroa Avenue
5098,236 Te Atatu Road
5094,Te Atatu South shops
5092,Royal View Road
5062,Stop F Te Atatu Bus Interchange
5090,Stop B Te Atatu Bus Interchange
5070,Toru Street
5077,Te Atatu Baptist Church
5088,Cellarmans Street
5086,Yeovil Road
5056,Te Atatu Peninsula Library
5074,Te Atatu Union Church
1698,Ramlea Park
5076,Neil Avenue
5078,Taikata shops
5079,Matipo School
5081,Renata Crescent
5080,Abbotleigh Avenue
5082,Bayside Avenue
5084,Hamurana Place
1622,Hospice West Auckland
1610,Harbour View Road
1671,Jack Pringle Park
5091,Te Atatu Peninsula Library
5093,Yeovil Road
5095,Cellarmans Street
5072,Gloria Avenue
5913,Toru Street
5099,Stop C Te Atatu Bus Interchange
5063,Stop E Te Atatu Bus Interchange
5097,Royal View Road
5101,251 Te Atatu Road
5103,197 Te Atatu Road
5105,Tiroroa Avenue
5003,Roberts Road
5005,Te Atatu Road/McLeod Road
5007,Divich Avenue
5107,Kokiri Street
5109,Elcoat Avenue
5111,Te Atatu Road/Glendene shops
5882,Norcross Avenue
5884,Henderson Medical Centre
5085,Totara Road/Te Atatu Road
5087,Te Atatu Road/Wharf Road
5089,Brennan Avenue
5075,Vera Road
5073,McCormick Road
5071,15 Royal View Road
5371,Sherwood Avenue
5369,Flanshaw Road School
5367,Grainger Road
5363,St Giles Presbyterian
5351,Woolworths Te Atatu South
5355,Edmonton Road/School Road
5353,Strid Road
5649,Vodanovich Road
5357,Chilcott Road
5359,Tui Glen Reserve
5361,Takapu Street
5362,Takapu Street
5360,Tui Glen Reserve
5358,Central Park Drive
5354,Vodanovich Road
5352,Strid Road
5350,Edmonton Road/School Road
5364,Te Atatu South shops
5366,Grainger Road
5368,Flanshaw Road School
5370,Sherwood Avenue
5064,16 Royal View Road
5066,McCormick Road
5068,Te Atatu Road corner
1606,Brennan Avenue
1608,Te Atatu Road/Wharf Road
1614,Tawa Road
5083,Rewarewa Road
5903,Stop B Lincoln Bus Interchange
5933,Stop E Lincoln Bus Interchange
5693,Daytona Reserve
5695,Lincoln Road/Universal Drive
5697,Te Wananga o Aotearoa
5699,Te Pai Park
5701,Lincoln Centre
5703,Waitakere Hospital
5790,Buscomb Avenue
5792,Waitakere Gardens
1653,Stop C Henderson Station
5855,Great North Road/Glendene Shops
5857,Kirby Street
5859,View Road
5861,Hepburn Road
5863,Waikumete Cemetery
5865,Glenview Road
5867,Brandon Road
5847,Kelston Girls' College
5805,Great North Road/Lynwood Road
5803,Great North Road/Fruitvale Road
5801,Wattle Street
5914,Stop E New Lynn
5912,Stop D New Lynn
5818,Titirangi Road
5820,Wattle Street
5822,Great North Road/Fruitvale Road
5748,Great North Road/Lynwood Road
5866,Kelston Girls' College
5868,Brandon Road
5870,Glenview Road
5872,Waikumete Cemetery
5874,Hepburn Road
5876,View Road
5878,Kirby Street
5880,Great North Road/Glendene Shops
1627,Henderson School
5777,Waitakere Gardens
5696,Waitakere Hospital
5698,Lincoln Centre
5700,Te Pai Park
5702,Te Wananga o Aotearoa
5704,Lincoln Road/Universal Drive
5706,Daytona Reserve
5755,Ranui Station
5754,Jillian Drive
5756,Babich Road North
5758,Eric Gifford Drive
5760,239 Metcalfe Road
1696,Babich Road South
1683,Murray Becroft Avenue
1677,Rissington Avenue
1675,Sapperton Drive
1673,Toledo Avenue
5389,Castle Heights
