source,target,route_id
6708,8756,309-221
8971,8973,309-203
8971,6700,309-221
8973,6710,309-203
8973,6698,309-221
6710,1618,309-203
6710,8754,309-221
1618,6704,309-203
1618,8477,309-221
6704,8477,309-203
6704,1496,309-221
8477,6707,309-203
8477,6696,309-221
6707,8971,309-221
6700,8302,309-203
6700,8973,309-221
8302,6698,309-203
8302,8593,309-221
6698,8593,309-203
6698,1618,309-221
8593,6696,309-203
8593,6687,309-221
6696,1039,309-203
6694,8302,309-221
6687,6699,309-203
6699,1428,309-203
6699,8581,309-221
1428,6701,309-203
1428,1039,309-221
6701,1040,309-203
6701,6703,309-221
1040,6703,309-203
1040,6680,309-221
6703,8737,309-221
6705,8581,309-203
6705,1727,309-221
6702,1867,309-203
6702,8962,309-221
1867,8737,309-203
1867,6701,309-221
8737,6709,309-203
8737,6705,309-221
6709,1727,309-203
6709,8761,309-221
1727,6715,309-203
1727,6702,309-221
6715,6713,309-203
6715,8757,309-221
6713,8962,309-203
8962,8761,309-203
8962,6709,309-221
8761,6711,309-203
6711,8759,309-203
6711,8755,309-221
8759,6717,309-203
8759,6715,309-221
6717,6719,309-221
6719,8757,309-203
6719,8751,309-221
8757,6713,309-221
8755,6721,309-203
6723,8753,309-203
6723,8713,309-221
8753,6733,309-203
8753,6717,309-221
6733,8751,309-203
6733,8091,309-221
8751,6731,309-203
8751,8715,309-221
6731,8715,309-203
6731,8709,309-221
6729,8713,309-203
6729,8707,309-221
6567,8701,309-203
6593,7207,309-203
6599,7202,309-221
6597,6601,309-221
6616,8700,309-221
6614,1866,309-221
6948,8704,309-221
6611,8703,309-221
6613,8701,309-221
6233,1420,72X-205
6191,6370,325-221
6191,2158,361-203
1775,7952,321-202
1775,1546,67A-202
2024,1338,321-202
1355,7231,321-202
1355,6394,325-221
1355,8148,67A-202
7025,7227,321-202
7025,6398,325-221
7025,5814,67A-202
1773,7284,321-202
1773,2014,325-221
2014,2496,321-202
2014,6400,325-221
2496,1031,321-202
2496,2215,325-221
6402,6498,325-221
6575,6321,325-221
6419,6573,325-221
6573,7146,321-202
6573,6417,325-221
2013,1096,321-202
2013,6413,325-221
7952,7228,321-202
7952,6411,325-221
7952,5779,67A-202
1356,7230,321-202
1356,1327,67A-202
1356,6409,325-221
1338,6496,321-202
6496,7140,321-202
7282,1775,321-202
7228,1356,321-202
7230,1327,321-202
1327,8612,321-202
1327,8151,67A-202
8612,8614,321-202
8614,7645,321-202
7645,7643,67A-202
7643,8616,321-202
7643,8149,67A-202
8616,8618,321-202
8618,1737,321-202
1737,8537,67A-202
7641,8620,321-202
7641,7639,67A-202
8620,8622,321-202
8622,7639,321-202
7639,8606,321-202
7639,8334,67A-202
1335,8608,321-202
1335,8243,67A-202
7637,8610,321-202
7637,8800,67A-202
1333,1848,67A-202
1603,8854,321-202
8854,8064,321-202
8064,7631,321-202
8064,8094,65-202
7631,8094,321-202
7631,8804,67A-202
8094,1605,321-202
8094,1718,65-202
1605,1097,321-202
1097,1887,321-202
1887,7627,321-202
8068,7625,321-202
8068,8070,65-202
8070,7616,321-202
8070,8067,65-202
7616,7623,321-202
7615,7620,321-202
8069,7622,321-202
8069,8068,65-202
8067,7624,321-202
8067,8092,65-202
1882,8092,321-202
8092,1602,321-202
8092,1765,65-202
1602,8881,321-202
8881,8858,321-202
8858,8613,321-202
8858,8805,67A-202
7630,1411,321-202
7630,8857,67A-202
1354,7632,321-202
1354,8801,67A-202
7632,8609,321-202
7632,8242,67A-202
7634,8625,321-202
7634,8331,67A-202
8625,1352,321-202
1352,8623,321-202
1352,8534,67A-202
8623,7636,321-202
7636,8621,321-202
7636,7638,67A-202
8621,7638,321-202
7638,8617,321-202
7638,1456,67A-202
8617,1348,321-202
1348,1443,321-202
1348,8146,67A-202
1443,1350,321-202
1350,8615,321-202
1350,1355,67A-202
8615,1355,321-202
7231,7025,321-202
7231,4142,966-203
7227,1773,321-202
7227,4144,966-203
7284,2014,321-202
6505,7145,321-202
1759,6276,72X-205
1810,6955,325-221
6362,6626,325-221
6364,2063,325-221
6366,6574,325-221
6574,6576,325-221
6576,6182,325-221
6182,6156,325-221
